ID,NLuc,CLuc,value,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample,NLuc_Sample,CLuc_Sample,ypos
1775,AtMLO1,AtEXO70H2,0.25,1,2,205606,170.43,1206.38,1255.15,0.25,AtMLO1-AtCAM2,B,H,1.52
1776,AtMLO1,AtEXO70H2,1.52,1,3,79432.9,36.11,2199.5,2392.21,1.52,AtMLO1-AtCAM2,B,H,1.52
1777,AtMLO1,AtEXO70H2,0,2,1,-96.6,34.57,-2.79,-6.56,0,AtMLO1-AtCAM2,B,H,1.52
1778,AtMLO1,AtEXO70H2,0.25,2,2,55841.75,49.12,1136.83,1418.62,0.25,AtMLO1-AtCAM2,B,H,1.52
1779,AtMLO1,AtEXO70H2,0.14,2,3,22199.75,49.12,451.94,476.08,0.14,AtMLO1-AtCAM2,B,H,1.52
1780,AtMLO1,AtEXO70H2,0.05,3,1,30143.79,58.03,519.44,555.89,0.05,AtMLO1-AtCAM2,B,H,1.52
1781,AtMLO1,AtEXO70H2,0.08,3,2,71367.5,58.03,1229.82,1310.17,0.08,AtMLO1-AtCAM2,B,H,1.52
1782,AtMLO1,AtEXO70H2,0.05,3,3,35155.64,58.03,605.81,727.48,0.05,AtMLO1-AtCAM2,B,H,1.52
1783,AtMLO1,AtEXO70H2,0.06,3,4,11397.75,38.85,293.4,836.31,0.06,AtMLO1-AtCAM2,B,H,1.52
1784,AtMLO1,AtEXO70H2,0.01,4,1,36046.64,52.4,687.97,400.24,0.01,AtMLO1-AtCAM2,B,H,1.52
1785,AtMLO1,AtEXO70H2,0.54,4,2,99575,52.4,1900.43,1927.7,0.54,AtMLO1-AtCAM2,B,H,1.52
1786,AtMLO1,AtEXO70H2,0.16,4,3,251073.71,52.4,4791.85,5095.38,0.16,AtMLO1-AtCAM2,B,H,1.52
1787,AtMLO1,AtEXO70H2,0.02,4,4,4627.36,52.4,88.32,229.91,0.02,AtMLO1-AtCAM2,B,H,1.52
1788,AtMLO1,AtEXO70H2,0.04,5,1,69277.38,71.45,969.61,1043.76,0.04,AtMLO1-AtCAM2,B,H,1.52
1789,AtMLO1,AtEXO70H2,0.03,5,2,17819.5,35.07,508.04,454.23,0.03,AtMLO1-AtCAM2,B,H,1.52
1790,AtMLO1,AtEXO70H2,0.11,5,3,37954.25,35.07,1082.09,1244,0.11,AtMLO1-AtCAM2,B,H,1.52
1791,AtMLO1,AtEXO70H2,0.1,5,4,-7.57,52.4,-0.14,317.24,0.1,AtMLO1-AtCAM2,B,H,1.52
